Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.6783333333333333,0.8848618377799562,0.6783333333333333,0.7410285160102654,0.7981772394771555
Decision Tree Classifier,0.825,0.9051194619141997,0.825,0.8517756562532682,0.5229643842187313
Random Forest Classifier,0.89,0.9229002283644381,0.89,0.9012910820227893,0.6888415877203502
SVM Classifier,0.84,0.9101178451178451,0.84,0.863299378983829,0.8885357956589519
Gradient Boosting Classifier,0.88,0.9180475135589335,0.88,0.8931561461794021,0.7259263700683536
KNN Classifier,0.7166666666666667,0.8574149514008004,0.7166666666666667,0.7677358677358678,0.5
